#El presente archivo contiene datos de clientes separados en filas y por , (comas)
#Cada fila del archivo contiene la información de los clientes separada por comas. 
#Cada cliente contienen los atributos:
#<nombre>,<apellido>,<email>,<activo>,<fecha de alta>,<hora de alta [desestimar]>,<importe pagado>
#A partir de la importación de los datos ACTIVOS (el atributo activo con valor 1) del archivo 
# crear un vector de registros de clientes y con dichos datos cargados se necesita que la aplicación pueda:   
# 1) Mostrar Nombre y Apellido  Email y Fecha  de todos los clientes.               
# 2) Filtrar y Mostrar solo los clientes cuyo appellido comienza con la letra l que se carga por teclado 
# mostrando además en algun lado el total pagado por el grupo de clientes filtrado.
# 4) Finalmente generar un nuevo archivo de texto separado por comas con una línea por registro que guarde 
# solo los registros que tienen un importe pagado mayor al promedio general de importe pagado de todos los clientes.
AARON,SELBY,AARON.SELBY@sakilacustomer.org,1,14/02/2006,22:04,110.76
ADAM,GOOCH,ADAM.GOOCH@sakilacustomer.org,1,14/02/2006,22:04,101.78
ADRIAN,CLARY,ADRIAN.CLARY@sakilacustomer.org,1,14/02/2006,22:04,74.81
AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,1,14/02/2006,22:04,98.77
ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,1,14/02/2006,22:04,124.74
ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,1,14/02/2006,22:04,99.77
ALBERTO,HENNING,ALBERTO.HENNING@sakilacustomer.org,1,14/02/2006,22:04,66.79
ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,1,14/02/2006,22:04,151.67
ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,1,14/02/2006,22:04,151.64
ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,1,14/02/2006,22:04,120.74
ALFREDO,MCADAMS,ALFREDO.MCADAMS@sakilacustomer.org,1,14/02/2006,22:04,85.80
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,14/02/2006,22:04,138.67
ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,1,14/02/2006,22:04,83.79
ALLAN,CORNISH,ALLAN.CORNISH@sakilacustomer.org,1,14/02/2006,22:04,79.81
ALLEN,BUTTERFIELD,ALLEN.BUTTERFIELD@sakilacustomer.org,1,14/02/2006,22:04,85.79
ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,1,14/02/2006,22:04,92.73
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,1,14/02/2006,22:04,151.65
ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,1,14/02/2006,22:04,139.71
AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1,14/02/2006,22:04,110.73
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,1,14/02/2006,22:04,113.73
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,14/02/2006,22:04,127.71
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,1,14/02/2006,22:04,174.66
ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,1,14/02/2006,22:04,126.72
ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,14/02/2006,22:04,93.78
ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,1,14/02/2006,22:04,109.73
ANDY,VANHORN,ANDY.VANHORN@sakilacustomer.org,1,14/02/2006,22:04,113.75
ANGEL,BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,1,14/02/2006,22:04,115.68
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,14/02/2006,22:04,140.64
ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,1,14/02/2006,22:04,62.85
ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,14/02/2006,22:04,76.83
ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,14/02/2006,22:04,91.79
ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1,14/02/2006,22:04,87.77
ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,1,14/02/2006,22:04,98.76
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1,14/02/2006,22:04,58.82
ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,1,14/02/2006,22:04,71.80
ANTONIO,MEEK,ANTONIO.MEEK@sakilacustomer.org,1,14/02/2006,22:04,78.84
APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,1,14/02/2006,22:04,94.74
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,1,14/02/2006,22:04,120.74
ARMANDO,GRUBER,ARMANDO.GRUBER@sakilacustomer.org,1,14/02/2006,22:04,83.79
ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,1,14/02/2006,22:04,167.67
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,1,14/02/2006,22:04,155.68
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,14/02/2006,22:04,112.75
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,1,14/02/2006,22:04,119.71
AUSTIN,CINTRON,AUSTIN.CINTRON@sakilacustomer.org,1,14/02/2006,22:04,83.81
BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,14/02/2006,22:04,81.78
BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,1,14/02/2006,22:04,134.67
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,1,14/02/2006,22:04,119.74
BECKY,MILES,BECKY.MILES@sakilacustomer.org,1,14/02/2006,22:04,115.71
BEN,EASTER,BEN.EASTER@sakilacustomer.org,0,14/02/2006,22:04,122.74
BENJAMIN,VARNEY,BENJAMIN.VARNEY@sakilacustomer.org,1,14/02/2006,22:04,95.77
BERNARD,COLBY,BERNARD.COLBY@sakilacustomer.org,1,14/02/2006,22:04,88.78
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,1,14/02/2006,22:04,145.67
BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1,14/02/2006,22:04,101.75
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,1,14/02/2006,22:04,132.72
BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,1,14/02/2006,22:04,103.75
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,14/02/2006,22:04,117.72
BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,14/02/2006,22:04,97.76
BILL,GAVIN,BILL.GAVIN@sakilacustomer.org,1,14/02/2006,22:04,114.72
BILLIE,HORTON,BILLIE.HORTON@sakilacustomer.org,1,14/02/2006,22:04,88.74
BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,1,14/02/2006,22:04,149.65
BOB,PFEIFFER,BOB.PFEIFFER@sakilacustomer.org,1,14/02/2006,22:04,91.76
BOBBIE,CRAIG,BOBBIE.CRAIG@sakilacustomer.org,1,14/02/2006,22:04,80.76
BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,1,14/02/2006,22:04,106.65
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,14/02/2006,22:04,87.79
